Species,Gene,TF,Position,Score,Relative Score
O. niloticus ,ANKS4B,Nkx2-5,373,7.738492488861084,0.9364402369767876
O. niloticus ,ANKS4B,Nkx2-5,-604,6.870297908782959,0.9014859805873588
O. niloticus ,ANKS4B,Nkx2-5,426,7.281668186187744,0.9180480998142532
O. niloticus ,ANKS4B,Nkx2-5,455,7.281668186187744,0.9180480998142532
O. niloticus ,ANKS4B,Pax2,637,7.123700141906737,0.9237356727138372
O. niloticus ,ANKS4B,RORA,-705,12.925166130065918,0.9602392195629248
O. niloticus ,ANKS4B,Prrx2,11,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,-797,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,204,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,-712,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,289,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,-670,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,331,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,-637,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,Prrx2,521,9.124367713928224,0.9999999805311351
O. niloticus ,ANKS4B,SOX9,-945,10.670611381530762,0.9333236768590992
O. niloticus ,ANKS4B,SOX9,-865,9.678739547729492,0.9048500516924792
O. niloticus ,ANKS4B,Sox17,-864,8.9898042678833,0.9137395580731144
O. niloticus ,ANKS4B,Sox17,-694,8.589897155761719,0.9008205625745752
O. niloticus ,ANKS4B,Sox17,632,11.260087013244627,0.987081020824638
O. niloticus ,ANKS4B,Sox17,-335,8.589897155761719,0.9008205625745752
O. niloticus ,ANKS4B,SPIB,-770,8.774692535400389,0.9420960785171176
O. niloticus ,ANKS4B,SPIB,799,9.739927291870117,0.9750724482137112
O. niloticus ,ANKS4B,SRY,53,11.042431831359863,0.9792603064681636
O. niloticus ,ANKS4B,SRY,133,10.201844215393066,0.9511178460400236
O. niloticus ,ANKS4B,SRY,303,10.29366397857666,0.9541919266032298
O. niloticus ,ANKS4B,SRY,-634,9.00571346282959,0.9110719760658592
O. niloticus ,ANKS4B,SRY,-159,9.474087715148926,0.9267529159358766
O. niloticus ,ANKS4B,Sox5,-945,10.898024559020996,1.000000008293071
O. niloticus ,ANKS4B,Sox5,-865,10.898024559020996,1.000000008293071
O. niloticus ,ANKS4B,Sox5,-695,10.898024559020996,1.000000008293071
O. niloticus ,ANKS4B,Sox5,-336,10.074776649475098,0.9693217343858688
O. niloticus ,ANKS4B,MAFG::NFE2L1,293,8.253566741943361,0.9758032261640304
O. niloticus ,ANKS4B,MAFG::NFE2L1,-448,6.811142444610597,0.913332972082604
O. niloticus ,ANKS4B,MAFG::NFE2L1,-362,8.253566741943361,0.9758032261640304
O. niloticus ,ANKS4B,MAFG::NFE2L1,-119,8.691544532775879,0.9947716974563696
O. niloticus ,ANKS4B,YY1,-659,7.388648509979247,0.9492083091765441
O. niloticus ,ANKS4B,YY1,-152,7.219337940216064,0.9405610215352128
O. niloticus ,ANKS4B,ETS1,229,7.632888793945312,0.9924215379753624
O. niloticus ,ANKS4B,ETS1,-657,5.896041870117188,0.91230606291659
O. niloticus ,ANKS4B,ETS1,760,7.797184467315674,0.9999999985417986
O. niloticus ,ANKS4B,ETS1,-199,7.632888793945312,0.9924215379753624
O. niloticus ,ANKS4B,ETS1,980,5.7771239280700675,0.9068207393170192
O. niloticus ,ANKS4B,JUN::FOS,22,10.264276504516602,0.9503340992549942
O. niloticus ,ANKS4B,TBP,72,11.181330680847168,0.90870882493363
O. niloticus ,ANKS4B,TBP,72,11.14535903930664,0.90869991205333
O. niloticus ,ANKS4B,HLTF,16,6.699027061462402,0.9162649516046965
O. niloticus ,ANKS4B,HLTF,-958,7.040768623352051,0.9283091796279104
O. niloticus ,ANKS4B,HLTF,167,7.698915004730225,0.9515046757980004
O. niloticus ,ANKS4B,HLTF,244,7.725492000579834,0.9524413467619146
O. niloticus ,ANKS4B,HLTF,276,7.343094348907472,0.9389642487852548
O. niloticus ,ANKS4B,HLTF,382,8.106818199157715,0.9658806827955588
O. niloticus ,ANKS4B,HLTF,-568,7.049680709838867,0.9286232742941146
O. niloticus ,ANKS4B,HLTF,-561,7.305901527404785,0.9376534371282588
O. niloticus ,ANKS4B,HLTF,-554,6.866127014160156,0.9221541677767988
O. niloticus ,ANKS4B,HLTF,498,7.431265830993652,0.9420717357105168
O. niloticus ,ANKS4B,HLTF,508,7.99126386642456,0.9618081236230288
O. niloticus ,ANKS4B,HLTF,-468,6.889129161834718,0.922964847958876
O. niloticus ,ANKS4B,HLTF,-440,7.275576591491699,0.9365846749885092
O. niloticus ,ANKS4B,HLTF,573,7.446839809417725,0.9426206199209448
O. niloticus ,ANKS4B,HLTF,705,7.481472492218018,0.9438412028854396
O. niloticus ,ANKS4B,HLTF,752,6.296246528625487,0.9020694860196063
O. niloticus ,ANKS4B,HLTF,-248,6.379338264465332,0.90499794402678
O. niloticus ,ANKS4B,HLTF,-198,6.659256458282472,0.9148632894519538
O. niloticus ,ANKS4B,HLTF,831,7.213566780090332,0.9343992214426634
O. niloticus ,ANKS4B,Spz1,467,13.091349601745605,0.9576410819743568
O. niloticus ,ANKS4B,NKX3-1,-742,11.58048152923584,1.0000000127575859
O. niloticus ,ANKS4B,NKX3-1,382,9.802969932556152,0.936114631025272
O. niloticus ,ANKS4B,NKX3-1,395,11.58048152923584,1.0000000127575859
O. niloticus ,ANKS4B,Nobox,-799,9.03559398651123,0.9232436836172182
O. niloticus ,ANKS4B,Nobox,203,9.03559398651123,0.9232436836172182
O. niloticus ,ANKS4B,Nobox,288,9.03559398651123,0.9232436836172182
O. niloticus ,ANKS4B,Nobox,-672,8.465404510498049,0.9044391034183792
O. niloticus ,ANKS4B,Nobox,330,8.465404510498049,0.9044391034183792
O. niloticus ,ANKS4B,ZNF354C,-732,7.330820083618164,0.930628177864814
O. niloticus ,ANKS4B,Pdx1,-989,9.569862365722656,0.9999999875379776
O. niloticus ,ANKS4B,Pdx1,-796,8.105888366699219,0.9397544153461476
O. niloticus ,ANKS4B,Pdx1,287,7.8961896896362305,0.9311248790320076
O. niloticus ,ANKS4B,Pdx1,-711,8.105888366699219,0.9397544153461476
O. niloticus ,ANKS4B,Pdx1,291,7.265902996063232,0.9051872718582928
O. niloticus ,ANKS4B,Pdx1,329,9.569862365722656,0.9999999875379776
O. niloticus ,ANKS4B,Pdx1,-669,9.569862365722656,0.9999999875379776
O. niloticus ,ANKS4B,Pdx1,-479,7.8961896896362305,0.9311248790320076
O. niloticus ,ANKS4B,ELF5,-200,9.121828079223633,0.9193341610433978
O. niloticus ,ANKS4B,FOXA1,-951,10.710352897644043,0.9022460962988152
O. niloticus ,ANKS4B,FOXA1,891,12.015071868896484,0.9249070139861272
O. niloticus ,ANKS4B,Gata1,621,9.902173042297363,0.9146081079976452
O. niloticus ,ANKS4B,Arid3a,99,9.84423828125,0.9999999947950092
O. niloticus ,ANKS4B,Arid3a,205,8.299228668212889,0.9397245176885984
O. niloticus ,ANKS4B,Arid3a,-795,8.299228668212889,0.9397245176885984
O. niloticus ,ANKS4B,Arid3a,211,9.84423828125,0.9999999947950092
O. niloticus ,ANKS4B,Arid3a,-752,9.01498031616211,0.9676481446393924
O. niloticus ,ANKS4B,Arid3a,290,8.299228668212889,0.9397245176885984
O. niloticus ,ANKS4B,Arid3a,-710,8.299228668212889,0.9397245176885984
O. niloticus ,ANKS4B,Arid3a,318,9.84423828125,0.9999999947950092
O. niloticus ,ANKS4B,NFATC2,228,9.490151405334473,0.9310471449535134
O. niloticus ,ANKS4B,NFATC2,979,9.186888694763184,0.9198621099534195
O. niloticus ,ANKS4B,FEV,800,9.666122436523438,0.9167538671758432
O. niloticus ,ANKS4B,FOXO3,-877,9.379627227783203,0.9072055043716252
O. niloticus ,ANKS4B,FOXO3,-243,10.205409049987793,0.9349451425877816
O. niloticus ,ANKS4B,HOXA5,285,8.762330055236816,0.961478464909748
O. niloticus ,ANKS4B,HOXA5,-711,9.177602767944336,0.976103994965738
O. niloticus ,ANKS4B,HOXA5,-636,7.117410659790039,0.9035458887456784
O. niloticus ,ANKS4B,HOXA5,-479,8.762330055236816,0.961478464909748
O. niloticus ,ANKS4B,HOXA5,-294,7.017848014831543,0.9000393822699689
O. niloticus ,ANKS4B,NFIC,-554,7.586748123168945,0.9293058613716778
O. niloticus ,ANKS4B,NFIC,-68,7.218926429748535,0.9169861920794647
O. niloticus ,ANKS4B,Nr2e3,974,11.665128707885742,0.9999999954937
O. niloticus ,ANKS4B,Nr2e3,-25,10.320999145507812,0.9519857953035114
O. niloticus ,ANKS4B,SPI1,777,8.725250244140625,0.906118267670472
O. niloticus ,ANKS4B,SPI1,801,9.156126022338867,0.9204752188764866
O. niloticus ,ANKS4B,CREB1,925,9.470881462097168,0.9231797564699908
O. niloticus ,ANKS4B,FOS::JUN,-539,9.556295394897461,0.9595678358158498
O. niloticus ,ANKS4B,SOX10,634,8.62523078918457,0.9873668540873736
O. niloticus ,ANKS4B,SOX10,744,7.0969905853271475,0.9195205899220328
O. niloticus ,ANKS4B,SOX10,888,8.90979290008545,0.999999996507588
O. niloticus ,ANKS4B,FOXA1,-951,10.65507984161377,0.901977165444628
O. niloticus ,ANKS4B,FOXA1,891,12.039809226989744,0.9257310856163168
O. niloticus ,ANKS4B,Sox6,-866,10.909080505371094,0.9224378350888884
O. niloticus ,ANKS4B,Sox6,633,10.710790634155273,0.918658702924306
O. niloticus ,ANKS4B,Sox6,694,11.15915298461914,0.9272038725269508
O. niloticus ,ANKS4B,Sox6,839,11.319687843322756,0.9302634460913676
O. niloticus ,ANKS4B,Sox3,-871,10.7832612991333,0.9252419357853844
O. niloticus ,ANKS4B,Sox3,694,13.596769332885742,0.9668828559114778
O. niloticus ,ANKS4B,Sox3,839,14.263843536376953,0.9767557915109214
O. niloticus ,ANKS4B,PRDM1,78,17.461835861206055,0.9351211393563026
O. niloticus ,ANKS4B,MAFK,877,12.941534042358398,0.9188293220867128
O. niloticus ,ANKS4B,JUND,21,12.161715507507324,0.9473335385107394
O. niloticus ,ANKS4B,JUNB,20,10.08084774017334,0.9202323455836576
O. niloticus ,ANKS4B,JUN(var.2),17,11.317477226257324,0.9105694193292518
O. niloticus ,ANKS4B,Hoxc9,-158,12.886826515197756,0.903243672793794
O. niloticus ,ANKS4B,FOXP1,43,15.37853717803955,0.9232350067355244
O. niloticus ,ANKS4B,FOXH1,-542,11.00235652923584,0.927401746990756
O. niloticus ,ANKS4B,FOSL1,21,10.55416202545166,0.9150245050882844
O. niloticus ,ANKS4B,Erg,799,10.914685249328613,0.916355686924365
O. niloticus ,ANKS4B,DUX4,-670,12.377105712890625,0.9404286804803588
O. niloticus ,ANKS4B,DUX4,-312,9.03073787689209,0.9040019394868468
O. niloticus ,ANKS4B,CEBPB,-289,10.427657127380373,0.9292435233713574
O. niloticus ,ANKS4B,CDX2,135,11.346476554870605,0.9234923213791126
O. niloticus ,ANKS4B,CDX2,538,12.65309238433838,0.9431391600840048
O. niloticus ,ANKS4B,CDX2,-155,15.689424514770508,0.988794758520602
O. niloticus ,ANKS4B,USF2,17,13.58851718902588,0.956548395973736
O. niloticus ,ANKS4B,CEBPA,-290,8.549444198608397,0.9004125313353847
O. niloticus ,ANKS4B,FOXA1,269,11.149395942687988,0.9158443376985832
O. niloticus ,ANKS4B,MAX,-982,12.21528148651123,0.9465170371109324
O. niloticus ,ANKS4B,Myb,-598,10.79184341430664,0.9255429613650435
O. niloticus ,ANKS4B,Sox2,633,12.854551315307615,0.9802823213499344
O. niloticus ,ANKS4B,USF1,17,12.162826538085938,0.9329824982359766
O. niloticus ,ANKS4B,FOXP2,51,11.43632984161377,0.9175365246916374
O. niloticus ,ANKS4B,Hoxa9,-157,12.979195594787598,0.9215812827774532
O. niloticus ,ANKS4B,Arid3b,-798,14.424113273620605,0.9856107822754888
O. niloticus ,ANKS4B,Arid3b,209,10.953136444091797,0.9122400763222656
O. niloticus ,ANKS4B,Arid5a,-997,11.755167007446287,0.9078811752421604
O. niloticus ,ANKS4B,Arid5a,206,13.201159477233887,0.9421052955743144
O. niloticus ,ANKS4B,NFAT5,978,10.236119270324707,0.9186986459026832
O. niloticus ,ANKS4B,DMRT3,-752,12.20531177520752,0.9295904256946316
O. niloticus ,ANKS4B,DMRT3,535,14.036402702331545,0.9678750350770244
O. niloticus ,ANKS4B,Dux,26,9.204708099365234,0.920767731014235
O. niloticus ,ANKS4B,Dux,-904,9.689085006713867,0.9313162211739884
O. niloticus ,ANKS4B,EMX1,201,8.92195987701416,0.9138036254999844
O. niloticus ,ANKS4B,EMX1,-799,10.00167465209961,0.9441410469054412
O. niloticus ,ANKS4B,EMX1,-714,10.480077743530273,0.9575830378101752
O. niloticus ,ANKS4B,EMX1,290,10.58853244781494,0.9606303574757116
O. niloticus ,ANKS4B,EMX1,328,9.73439121246338,0.9366310169141384
O. niloticus ,ANKS4B,EMX1,-672,9.73439121246338,0.9366310169141384
O. niloticus ,ANKS4B,Foxj2,53,9.556059837341307,0.9193642834361933
O. niloticus ,ANKS4B,Foxj2,-436,9.555858612060547,0.9193602355274448
O. niloticus ,ANKS4B,Foxj2,-110,8.740635871887207,0.9029609677546956
O. niloticus ,ANKS4B,LBX1,-798,9.336438179016113,0.922362843442457
O. niloticus ,ANKS4B,LBX1,-761,9.249605178833008,0.920508766664354
O. niloticus ,ANKS4B,LBX1,-713,10.245807647705078,0.9417798946909091
O. niloticus ,ANKS4B,LBX1,329,11.165876388549805,0.9614253990851092
O. niloticus ,ANKS4B,LBX1,-671,11.165876388549805,0.9614253990851092
O. niloticus ,ANKS4B,LBX1,587,8.950662612915039,0.914125681106026
O. niloticus ,ANKS4B,LIN54,-963,9.220661163330078,0.9204327639128452
O. niloticus ,ANKS4B,LIN54,38,9.220661163330078,0.9204327639128452
O. niloticus ,ANKS4B,LIN54,-825,12.401341438293455,0.9834971391883196
O. niloticus ,ANKS4B,LIN54,176,12.367247581481935,0.9828211492758864
O. niloticus ,ANKS4B,LIN54,-499,9.148736000061037,0.9190066804665292
O. niloticus ,ANKS4B,LIN54,502,11.851056098937988,0.9725864540047532
O. niloticus ,ANKS4B,Mitf,-982,9.432842254638672,0.9117764707799751
O. niloticus ,ANKS4B,mix-a,200,11.262704849243164,0.9203917831543738
O. niloticus ,ANKS4B,mix-a,-799,13.281316757202148,0.9624416246598764
O. niloticus ,ANKS4B,mix-a,-714,11.913744926452635,0.9339536431396686
O. niloticus ,ANKS4B,mix-a,327,11.90290641784668,0.9337278654321064
O. niloticus ,ANKS4B,mix-a,-672,11.90290641784668,0.9337278654321064
O. niloticus ,ANKS4B,Neurog1,-832,9.68634033203125,0.9276278926936179
O. niloticus ,ANKS4B,NFATC1,628,9.922541618347168,0.9326751219822468
O. niloticus ,ANKS4B,NFATC3,628,10.15650749206543,0.9170403265559968
O. niloticus ,ANKS4B,POU6F1,201,12.961246490478516,0.9716007158068666
O. niloticus ,ANKS4B,POU6F1,-799,12.961246490478516,0.9716007158068666
O. niloticus ,ANKS4B,POU6F1,286,10.496072769165039,0.9124437394518149
O. niloticus ,ANKS4B,POU6F1,-714,10.496072769165039,0.9124437394518149
O. niloticus ,ANKS4B,SHOX,202,9.472533226013184,0.957561094069366
O. niloticus ,ANKS4B,SHOX,-798,9.305306434631348,0.9521724249681256
O. niloticus ,ANKS4B,SHOX,287,9.334955215454102,0.9531278189441078
O. niloticus ,ANKS4B,SHOX,-713,9.773357391357422,0.9672547673815296
O. niloticus ,ANKS4B,SHOX,329,10.522210121154783,0.991385587168799
O. niloticus ,ANKS4B,SHOX,-671,10.522210121154783,0.991385587168799
O. niloticus ,ANKS4B,SHOX,362,7.963411331176758,0.9089315744959052
O. niloticus ,ANKS4B,SHOX,-481,7.825833797454834,0.9044983147361136
O. niloticus ,ANKS4B,Twist2,-983,9.875381469726562,0.903630271411088
O. niloticus ,ANKS4B,Twist2,168,9.922037124633787,0.9045733917681
O. niloticus ,ANKS4B,Twist2,-832,11.708311080932615,0.9406820121429762
O. niloticus ,ANKS4B,ALX3,286,9.59809684753418,0.9265153404791578
O. niloticus ,ANKS4B,ALX3,-714,9.779767990112305,0.9313355749870637
O. niloticus ,ANKS4B,ALX3,328,12.13387966156006,0.993796624954294
O. niloticus ,ANKS4B,ALX3,-672,12.13387966156006,0.993796624954294
O. niloticus ,ANKS4B,BARHL2,139,9.144082069396973,0.9368124072434402
O. niloticus ,ANKS4B,BARHL2,416,9.039770126342773,0.9348706176617232
O. niloticus ,ANKS4B,BARHL2,438,10.520463943481444,0.9624340561678852
O. niloticus ,ANKS4B,BARHL2,-426,9.325366973876953,0.9401870652982603
O. niloticus ,ANKS4B,ELF5,-242,10.01441478729248,0.9005341615630023
O. niloticus ,ANKS4B,EN1,26,9.34502124786377,0.9446396835376178
O. niloticus ,ANKS4B,EN1,-904,7.3972601890563965,0.9023166777060726
O. niloticus ,ANKS4B,EN1,202,9.655377388000488,0.9513834289623802
O. niloticus ,ANKS4B,EN1,-798,8.79085636138916,0.9325982046221992
O. niloticus ,ANKS4B,EN1,287,10.476537704467773,0.9692264660768805
O. niloticus ,ANKS4B,EN1,-713,9.932646751403807,0.9574082300185286
O. niloticus ,ANKS4B,EN1,329,11.892776489257812,0.9999999955488328
O. niloticus ,ANKS4B,EN1,-671,11.892776489257812,0.9999999955488328
O. niloticus ,ANKS4B,EN1,519,7.331221580505371,0.9008817211942488
O. niloticus ,ANKS4B,EN1,-278,7.916411876678468,0.9135973529220248
O. niloticus ,ANKS4B,EN2,25,9.543577194213867,0.932198696792948
O. niloticus ,ANKS4B,EN2,-714,8.261058807373049,0.9044057125286076
O. niloticus ,ANKS4B,EN2,328,8.773359298706055,0.9155075880575072
O. niloticus ,ANKS4B,EN2,-672,8.773359298706055,0.9155075880575072
O. niloticus ,ANKS4B,ESX1,25,8.773316383361816,0.9171146886845498
O. niloticus ,ANKS4B,ESX1,201,9.733850479125977,0.9418083390487572
O. niloticus ,ANKS4B,ESX1,-799,9.057013511657717,0.9244080452935052
O. niloticus ,ANKS4B,ESX1,286,8.92469310760498,0.9210063193077876
O. niloticus ,ANKS4B,ESX1,-714,9.553082466125488,0.9371611098356022
O. niloticus ,ANKS4B,ESX1,328,10.252071380615234,0.9551308913758764
O. niloticus ,ANKS4B,ESX1,-672,10.252071380615234,0.9551308913758764
O. niloticus ,ANKS4B,FOXI1,-507,8.335925102233888,0.9066474436211509
O. niloticus ,ANKS4B,FOXL1,128,8.451630592346191,0.9301464951352292
O. niloticus ,ANKS4B,FOXL1,-806,8.798434257507324,0.9364974471133124
O. niloticus ,ANKS4B,FOXL1,346,10.11988639831543,0.960696958049012
O. niloticus ,ANKS4B,FOXL1,-435,9.025826454162598,0.9406616387474392
O. niloticus ,ANKS4B,FOXL1,-109,8.798434257507324,0.9364974471133124
O. niloticus ,ANKS4B,HOXA13,540,10.657172203063963,0.9023625028069259
O. niloticus ,ANKS4B,HOXA13,-213,10.96483325958252,0.9088421704349994
O. niloticus ,ANKS4B,HOXA13,-156,11.294010162353516,0.915774984567964
O. niloticus ,ANKS4B,HOXC11,-711,11.426076889038086,0.9172574673238716
O. niloticus ,ANKS4B,HOXC11,539,11.736738204956055,0.9222808188426695
O. niloticus ,ANKS4B,HOXC11,-415,12.76511287689209,0.9389094983900366
O. niloticus ,ANKS4B,ISX,202,10.667596817016602,0.9696305905610656
O. niloticus ,ANKS4B,ISX,-798,9.94930362701416,0.9541418606571253
O. niloticus ,ANKS4B,ISX,287,10.856171607971193,0.9736968744190232
O. niloticus ,ANKS4B,ISX,-713,10.062356948852539,0.95657965679813
O. niloticus ,ANKS4B,ISX,329,11.948678016662598,0.9972548545280756
O. niloticus ,ANKS4B,ISX,-671,11.948678016662598,0.9972548545280756
O. niloticus ,ANKS4B,LHX6,25,12.181100845336914,0.9571166030376166
O. niloticus ,ANKS4B,LHX6,-975,11.153249740600586,0.9395395186222804
O. niloticus ,ANKS4B,LHX6,201,11.358314514160154,0.9430462919466064
O. niloticus ,ANKS4B,LHX6,-799,9.760856628417967,0.9157284713223459
O. niloticus ,ANKS4B,LHX6,286,9.187810897827148,0.9059289262967788
O. niloticus ,ANKS4B,LHX6,-714,9.960053443908693,0.9191348978222668
O. niloticus ,ANKS4B,LHX6,328,10.389541625976562,0.926479492770708
O. niloticus ,ANKS4B,LHX6,-672,10.389541625976562,0.926479492770708
O. niloticus ,ANKS4B,MEOX1,25,8.575099945068361,0.9022877307476262
O. niloticus ,ANKS4B,MEOX1,201,8.521627426147461,0.9011860169513688
O. niloticus ,ANKS4B,MEOX1,286,10.454843521118164,0.9410167727481292
O. niloticus ,ANKS4B,MEOX1,-710,9.903646469116213,0.9296602589929936
O. niloticus ,ANKS4B,MEOX1,328,9.822433471679688,0.92798699800741
O. niloticus ,ANKS4B,MEOX1,-672,9.822433471679688,0.92798699800741
O. niloticus ,ANKS4B,MIXL1,25,8.330946922302246,0.9220328878924771
O. niloticus ,ANKS4B,MIXL1,95,7.982853889465332,0.9129737434665508
O. niloticus ,ANKS4B,MIXL1,-905,8.138434410095215,0.9170227369059202
O. niloticus ,ANKS4B,MIXL1,201,9.053933143615724,0.9408486525846192
O. niloticus ,ANKS4B,MIXL1,-799,8.859823226928711,0.9357969290397932
O. niloticus ,ANKS4B,MIXL1,286,9.667948722839355,0.9568284490390968
O. niloticus ,ANKS4B,MIXL1,-714,10.03968906402588,0.966503016244036
O. niloticus ,ANKS4B,MIXL1,328,11.072914123535156,0.9933927674185912
O. niloticus ,ANKS4B,MIXL1,-672,11.072914123535156,0.9933927674185912
O. niloticus ,ANKS4B,MIXL1,518,7.586757183074951,0.9026653002306144
O. niloticus ,ANKS4B,MSX1,202,8.959973335266113,0.9313762501220544
O. niloticus ,ANKS4B,MSX1,-798,8.202487945556639,0.9126162153611824
